author
Nicole Holofcener
Johnny O'Hara
Nicholas Kazan
Scott Lew
Beth Gage
Josh Lieb
Sebastian Gutierrez
Fredrik Gertten
Jonathan Latimer
Philip Yordan
Richard Christian Matheson
Thomas Bezucha
George Langworthy
Holly Goldberg Sloan
Ben Ramsey
Scott Martin
Matthew Fogel
Samuel Fuller
Marlene Rhein
Joe Eszterhas
Evan M. Wiener
Drew DeNicola
Adriana Trigiani
Michael Polish
Collier Young
Rodney Patrick Vaccaro
Fredrik Gertten
Bill Burr
Bill Burr
Tom Stoppard
Lee Hall
Jean-Christophe Castelli
Tommy O'Haver
Neil Simon
Joel Oliansky
Eric Heisserer
Dario Argento
Elaine May
James Nguyen
Christina Hodson
Rob Kuhns
Brad Michael Elmore
Marianna Palka
Jayme Laforest
Richard Brooks
Joe Maggio
Rainer Werner Fassbinder
James Toback
Greg Latter
Larry Cohen
Mark Harris
Cory Bowles
Dario Poloni
Ken Nolan
Onur Tukel
Kasi Lemmons
Jeta Amata
Tom Paton
Mike Binder
Joseph Stefano
Brian Moore
Mark Duplass
Dennis Kelly
Jonathan King
Tom Paton
Craig Brewer
Chad Law
James Crump
Jason Buxton
Richard Brooks
J.S. Hill
Simon Barrett
Mark Herman
Pablo Berger
Ron Shelton
Daisuke Habara
Paz Alicia Garcíadiego
Ben Jacoby
Ben Younger
Diane Bell
Carl Franklin
Sophie Sartain
Eskil Vogt
Christopher Theo
Dana Stevens
Fin Edquist
Joe Begos
Murray McRae
Dave Chappelle
Bill Gallagher
June Mathis
Jay Daniel Hendricks
Michael Finch
Mike Pavone
Jeb Stuart
Owen Egerton
Benjamin Hessler
James Ridgeway
Eddie Guzelian
Jeff Barnaby
Francis Dela Torre
Vicente Aranda
Christiane Cegavske
Guinevere Turner
Ryan Mitts
W. Earl Brown
Paul Greengrass
Brian DePalma
Peter Gimbel
Karen Moncrieff
Ron Shelton
Randall McCormick
Charles Hoffman
John Lafia
Hadi Hajaig
Woody Allen
Mark Duplass
Douglas Day Stewart
Laura Eason
Sophie Huber
Jeremy Saulnier
Marshall Lewy
Andrew Onwubolu
Jeff Lieberman
David Lynch
Paul Mazursky
Seth Fisher
Bo Burnham
Olivier Assayas
Boaz Yakin
Craig Carlisle
Jeremy Kenyon Lockyer Corbell
John-Luke Montias
Alvin Sargent
Roxanne Benjamin
Brad Mirman
David McKenna
Alvin Sargent
Anthony McCarten
Yunus Sajawal
John Derek
Jon Reiss
Charles Randolph
Alexandra Dean
Larry Cohen
Jeremy Iacone
S. Craig Zahler
Stacy Peralta
Michael Cristofer
Martin Doblmeier
Arthur Laurents
Daniel D. Davis
Cristián Jiménez
Danny Moynihan
Erin Simms
Hal Hartley
Paul Butler
Michael Bacall
Troy Duffy
Troy Duffy
Darryl Ponicsan
John C. Higgins
Ronnie Sandahl
Alex van Warmerdam
Val Lik
Gerald L.C. Copley
Tom Laughlin
David Kane
Robert Budreau
Drew Fellman
Ruth Prawer Jhabvala
Enid Zentelis
Robert Bruzio
Douglas Soesbe
Don Roos
Leslie Zemeckis
Steve Martin
Michael Moore
Tom DiCillo
Taika Waititi
Mark O'Rowe
L.Q. Jones
Alê Abreu
Joel Edgerton
Ken Russell
Mark Herman
Eric Schaeffer
Charles M. Schulz
Nick Castle Jr.
Michael Morrissey
Richard Linklater
Luke Moran
Don Roos
John Singleton
Mike White
Naman Ramachandran
Stacey Menear
Mitzi Peirone
Frank Henenlotter
Pat Proft
Gerard Barrett
Timothy Mannion
Michael Doneger
Susan Estelle Jansen
Philip Yordan
Willard Carroll
Oscar Orlando Torres
S. Craig Zahler
Renuka Kunzru
George Axelrod
John Hughes
Sean Reycraft
Alistair MacLean
Daniel Taplitz
Jordan Hinson
Steve Tesich
Ryan Engle
Grant Nieporte
William Nicholson
Jean-Luc Godard
Jo Heims
Doug Atchison
Rian Johnson
Lloyd Fonvielle
Marieke van der Pol
Don Mancini
Curt Siodmak
Marilyn Levy
Linda Bloodworth-Thomason
William Goldman
Valentine Davies
Richard LaGravenese
Stephen Hawking
John Krasinski
Alan Jay Lerner
Max Landis
Ross McElwee
Jane Campion
Stephen Fry
Neil Simon
Rowan Joffe
Kevin Costello
Martin Koolhoven
Jessica Bendinger
Ernesto Díaz Espinoza
Paul Schrader
Famke Janssen
David Sherwin
James L. Brooks
Victor Mignatti
Woody Allen
Rick McKay
Mark O'Rowe
Brian Tucker
Pedro Almodóvar
Zoe Cassavetes
Jim Jarmusch
Greg Berlanti
James Franco
Dennis Hackin
Chazz Palminteri
David Cronenberg
Nick Hornby
Kevin Jordan
Terence Winter
Rich Burns
Rodney Evans
William Welch
Anders Thomas Jensen
Rian Johnson
Dax Shepard
Tony Grisoni
Will Forte
George A. Romero
David Ciminello
Richard Brooks
Justin Zackham
Charles B. Griffith
Robert Gittler
Julia Bacha
Joss Whedon
Tracy Letts
James Toback
Alan Parker
Ron Shelton
Paul Solet
Christina Hodson
Guy Moshe
Jaideep Sahni
Andrew Heckler
Mike Goodwin
Chris Sparling
Mike Gan
Jordan Roberts
Christopher Landon
Trey Batchelor
Jonathan Teplitzky
William Ivory
Alan Trezza
Pablo Solariz
Patrick Stettner
Sarah Adina Smith
Pat McCabe
Kim Henkel
Manny Perez
Jason A. Micallef
Leonard Gershe
Frank Cottrell Boyce
John G. Young
François Ozon
Emilio Mauro
Angelina Jolie
Moira Buffini
Meghan O'Hara
Adam Resnick
Jake Wade Wall
Joseph Schrank
Gabriele D'Annunzio
Michael Haneke
I.A.L. Diamond
Darnell Martin
Fabio Cavalli
Jean-Marc Vallée
Woody Allen
Dean Craig
Ruba Nadda
Patrick Tobin
Matt Palmer
Marshall Lewy
Joseph Walsh
Neil Simon
James Ivory
Bobcat Goldthwait
John Michael McDonagh
Gary Lundgren
Bruno Dumont
Daniel Noah
Todd Graff
Alex Carl
Peter Sattler
Joseph Cedar
Ted Balaker
Peter Hutchings
Michael Moore
Josh Hasty
Chad Klitzman
Bernard Rose
Horace B. Jenkins
David S. Ward
Gianfranco Clerici
Trey Parker
Tomás Pérez Turrent
Aaron Wilson
Michael Moore
Josh Trank
Peter Hyams
Amin Matalqa
Stephen Tolkin
Shawn Slovo
Matt Ross
Norman Reilly Raine
Billy Ray
Nicholas Stoller
Brian Bird
Joel Schumacher
Knate Gwaltney
Robert Dozier
Peter Sauder
John Hughes
Guy Maddin
Chris Frisina
Yolanda Ramke
David Koepp
Michael S. Bregman
Arantxa Echevarria
Harry Kleiner
Mickey Keating
Jules Feiffer
Phyllis Nagy
John Michael Hayes
Don Rhymer
Christopher Hampton
Talbot Rothwell
Jessie Gabe
John Sayles
Andrew Steele
Ray Wright
Carol Sobieski
Sean Ellis (II)
Norman Snider
Alex Gibney
Woody Allen
William Broyles
Joey Klein
Hayao Miyazaki
Buck Henry
Shawn Slovo
Susannah Grant
Jeff Nathanson
Kagiso Lediga
Sarah George
Onur Tukel
Stephen King
Steven Peros
Michael McNamara
Darin Scott
Gastón Biraben
Reginald Berkeley
Werner Herzog
Herschel Faber
John Waters
Maninder Chana
Carol Heikkinen
Neil Marshall
Max Winkler
Kelly Reichardt
Jennifer Chambers Lynch
Tom Williams
Marcus Mizelle
Bert Marcus
Audra Gorman
Seth Green
Rel Dowdell
Daniel Taplitz
Colin Welland
Gustin Nash
Charles M. Schulz
Charles M. Schulz
Terry McMahon
Guinevere Turner
Aaron Sorkin
Elizabeth Banks
Jeremy Brock
Angelina Maccarone
Satyajit Ray
Kevin Smith
Mark Monroe
Jeff Prosserman
Kario Salem
John Scheinfeld
Lotti Pharriss Knowles
Enda Walsh
Neil Simon
Lamar Trotti
Sam Harper
Richard Marcus
Alison Taylor
Jon Favreau
Chelsea Peretti
Nicole Burdette
Christopher Hampton
Finn Taylor
Jeffrey Fine
Brendan McCarthy
Paul Andrew Williams
Bill Condon
Vincent Paronnaud
Richard Price
Majid Majidi
Tze Chun
Jacques Prevert
Ethan Wiley
Peter Duncan
Hanasaki Kino
Don Mancini
Tyler Burton Smith
Don Mancini
Maurice Haeems
Orson Welles
Yung Chang
Roy Carlson
Robert Towne
Larry Gross
Cédric Klapisch
Jackie Chan
Dax Shepard
Andrew J. Fenady
Eric Rohmer
Robert Nelson Jacobs
Clark Gregg
Steve Barron
Lucas Limone
Luke Eberl
Andrew Dominik
Arnold Schulman
Chris Rock
Craig Shilowich
Mitch Davis
Dinah Eng
Chris Columbus
Michel Franco
Nicholas Schutt
Max Landis
David Twohy
Ray McKinnon
Mike White
Marion Cajori
Zac Stanford
Alex von Tunzelmann
Elena Soarez
John Irving
Darryl Ponicsan
Leigh Dunlap
Giuseppe Tornatore
David Seltzer
Maryam Keshavarz
Rachel Mason
Andrew Adamson
Ciaran Foy
Alexander Payne
Eli Baldridge
Chris Gerolmo
Ken Hixon
John Wexley
Jing Wong
Raymond De Felitta
Dana Stevens
Caroline Thompson
Bráulio Mantovani
Laura Gabbert
Ken Solarz
Mark Medoff
Madeleine Gavin
Chuan Lu
Ruth Prawer Jhabvala
Andrew Joiner
Steven Zaillian
Frank Cottrell Boyce
Nicole Conn
Hong Sang-soo
Akash Sherman
Bridey Elliott
Beverley Cross
C. Courtney Joyner
Benjamin August
Matt Healy
Matthew Aldrich
Hadi Hajaig
Chinonye Chukwu
Jon Reiss
Kevin Smith
Maja Milos
Michael Frayn
Stanley Kubrick
Abbas Kiarostami
Steven Knight
Patrick Marber
Nae Caranfil
Francis Veber
Stephen Dunn
Thom Fitzgerald
Olivier Assayas
Michael Testone
Jon Watts
Aaron Mirtes
Jeff Miller
Amy Heckerling
Ron Shelton
Wendell Wellman
Werner Herzog
Heywood Gould
Louis Godbout
Frank Cottrell Boyce
Chris Paré
Kendall Lampkin
Michael Haneke
Jim Jarmusch
Shane Mack
Kyle Patrick Alvarez
James Ward Byrkit
Anthony Minghella
Karl Jacob
Frank Baldwin
Jesús Olmo
Sophie Barthes
Norman Lear
Will Slocombe
Aaron Katz (II)
Martin Donovan
Allan Loeb
H.P. Mendoza
Paris H. Qualles
Majid Majidi
Menno Meyjes
Nacho Vigalondo
Anthony Frewin
Buddy Giovinazzo
Zack Whedon
Erik Linthorst
Ketti Frings
Paul Leyden
Makinov
Alan Parker
Marcus Hinchey
Toby Harvard
Graham Greene
Sam Esmail
James Steven Sadwith
Daniel Taplitz
KIM Soo-young
Jonathan Berman
Craig Zobel
Richard Murphy
Andrew Bujalski
Joseph L. McEveety
Laszlo Vajda
Scott Rosenberg
Stacie Passon
Charlie Kaufman
Gail Parent
Debbie Isitt
Doug Jung
Susannah Grant
John Patrick Shanley
Brian Helgeland
Jeffrey Caine
Scott Z. Burns
Erich Tomek
Jean-Luc Godard
Lawrence Kasdan
Aaron Guzikowski
Keoni Waxman
Eric England
Craig Walendziak
Matt Greenhalgh
Francis Ford Coppola
Pamela Gray (II)
Peter Greenaway
Anne Rapp
David Stenn
Matthew McDuffie
Eric Monte
James B. Harris
James Mangold
Bernie Somers
Henry Selick
John Logan
Alice Rohrwacher
Sam Bain
Giuseppe Tornatore
Robert Pucci
Sean Kirkpatrick
Jeremy Boxen
Bob Kelljan
Justin Dec
Lucy Walker
Bryce Hirschberg
Mark Perez
Shana Feste
Patrick Sheane Duncan
Chaitanya Tamhane
Stephen Metcalfe
Aaron Rahsaan Thomas
Robin Hardy
Roman Coppola
Tim Robbins
Jeremy Catalino
David Modigliani
George A. Romero
Matthew Miele
Scott Cooper
Mark Childress
Dan Klores
Mitch Markowitz
Dan Fogelman
Jeremy Leven
Peter Spenceley
Stephen King
Kiyoshi Kurosawa
Ingmar Bergman
Larry Gross
Vicente Leñero
Brad Mirman
Beth Henley
Robert Lowell
Mark Kasdan
Roland Kibbee
Daniel Fuchs
Steven S. Schwartz
Dito Montiel
David J. Schow
Scott Lobdell
Sebastián Cordero
Guillermo del Toro
Josh Zeman
Dalene Young
John Paxton
Charles Robert Carner
Susan Sandler
Sean Penn
Wayne Kramer
Preston A. Whitmore II
Chip Johannessen
David S. Goyer
Andrew Rowe (VII)
Matt Ruskin
Joel Souza
Emily Cohn
Roger Kumble
Robert D. Siegel
William Friedkin
John Waters
John Briley
Jamie Thraves
Neil Jordan
Sebastián Silva
Kevin Willmott
Jon Alpert
Mark Blane
Don Mancini
John Hughes
Don Mancini
Jimmy Sangster
DeWitt Bodeen
Charles Bennett
Woody Allen
Brian DeLeeuw
Dan Rosen
Mark Lamprell
Roberto Patiño
Michael Walker (VI)
Ray Yeung
Blake Ayshford
Brian King
Steven Brill
Spike Lee
Gary David Goldberg
Hamish McColl
Rochelle Bright
Dennis Paoli
Kiyoshi Kurosawa
David Jacobson
David Hertz
Frederic Raphael
Lisa Azuelos
David Hare
Peter Morgan
Whit Stillman
Daryl Matthews
Lars von Trier
Tim McCanlies
Nicholas Shakespeare
Michael Blake
Frank McGuinness
Jeannine Dominy
Amin Hajee
Yan Geling
David Golden
Ronald Bass
Naomi Foner
E.L. Doctorow
Michel Franco
Joshua Leibner
Dan Fogelman
Jeff Balsmeyer
Brendan Toller
Luc Besson
Lawrence Edward Watkin
David Brind
Mark Steven Johnson
Seth Grahame-Smith
David Ayer
Zdenek Sverák
Alex Proyas
Jeremy Brock
Carl Strathie
Pedro Almodóvar
George A. Romero
Billy Shebar
Delmer Daves
Simon Kinberg
Clio Barnard
Scott Stewart
Mike Le
Marina de Van
Tyler Hisel
Rafael Yglesias
Anthony McCarten
Steven McKay
Pollyanna McIntosh
Mickey Keating
Alan Yang
Tom McLoughlin
Nika Agiashvili
Julie Dash
Gary Ross
Dave Chappelle
Philip Dunne
Jay Jonroy
Eleanor Perry
David Cross
Tom Blackburn
James Gunn (II)
Julia Loktev
Eirene Houston
Kenneth Ross
Philip Yordan
Michael Goldbach
Leslie Bohem
Paris Leonti
Christian Camargo
Everardo Gout
Terrence Malick
Robert Towne
Greg Mottola
Richard Linklater
Ik-Joon Yang
Scott Frank
Ron Carlson
Jeffrey Reddick
Robert Foster
Lillian Hellman
Bernard Girard
Jim Jarmusch
J.H. Wyman
Jared Moshe
Irving Walker
Alan Ormsby
Ichiro Ryu
Tom Schulman
Jason Usry
Zach Dean
Mark Ethridge
Bruce Joel Rubin
Tony West
Suzi Yoonessi
Nanni Moretti
Tad Mosel
Tim Kirkman
Jamie Linden
Lars von Trier
Justin Simien
Dean Craig
Dean Craig
Peter Navarro
Ceri Jones
Juan Antonio Bardem & Luis Fernando de Igoa
Quentin Tarantino
Paul W.S. Anderson
Tony Giglio
Adam Resnick
Joe Carnahan
Michael Edmonds
Gail Morgan Hickman
Brendan Hood
Jay Presson Allen
Angela Robinson
Bill Morrison (II)
Peter Viertel
Gotham Chopra
David Bromberg
Dirk Blackman
Scott McGehee
Stephen Schiff
Stephen Sommers
Alex Winter
Quentin Dupieux
Yoav Shamir
Peter Stebbings
Martin Stellman
Shelby Farrell
Akshat Verma
Amy Berg
Ken Scott (V)
Philip Dunne
Bryan Sipe
Zak Bagans
Olivier Assayas
David Hare
Richard Dana Smith
Larry Fessenden
Till Kleinert
Stuart Beattie
Neil Marshall
Thomas G. Lemmer
Nunnally Johnson
Natalie Cooper
Richard Murphy
George Wells
Joe Tyler Gold
John Waters
David Klass
Shamim Sarif
Victor Levin
Robert Ramsey
Carl Lund
Abby Mann
Chang Chia-lu
Rod Lurie
Christopher Smith (VIII)
Mark Boal
Orville H. Hampton
Mary Rodgers
Norman Krasna
Carl Franklin
Lindsay Devlin
Rob Zombie
Kiran Rao (II)
Vijay Krishna Acharya
Maggie Kiley
Frederick Knott
Stephen Jeffreys
Diana Kennedy
Kent Jones
Michael Mongillo
George A. Romero
Tyler Perry
Adam Sztykiel
Ridley Pearson
Richard Matheson
Jonathan Hensleigh
Jerry Sohl
Julian Pölsler
Ondi Timoner
Ken Marino
Karen Janszen
Steven McKay
Michel Ocelot
Terrel Seltzer
Donald Martin
Barry Levinson
Francis Veber
Donald Margulies
Todd Douglas Miller
Frédéric Tcheng
Jack Thorne
Abe Sylvia
Jenny McCarthy
Steven Knight
John Waters
J Blakeson
Jay Craven
Lisa Jones
Enda Walsh
Andrew Stern
Travis Mathews
Anna Maria Monticelli
Melanie Finn
Frank Tashlin
Arne Olsen
Luc Besson
Scott Rosenberg
Chuck Hustmyre
Sarah Kunstler
Hank Bedford
Quentin Tarantino
David Thorpe
Yunus Sejawal
Spike Lee
Pete Hamill
Leslie Bricusse
Nevill Coghill
Rawson Marshall Thurber
Sidney Howard
Elissa Matsueda
Matthew Wilder
Bruce McCulloch
Neil Marshall
Dan Schaffer
Larry Karaszewski
Stephen Gaghan
Richard Brooks
Pamela K. Long
Tony Gilroy
Charles Martin Smith
Richard Shepard
Nathaniel Atcheson
Lewis Colick
Richard Kelly
Petter Skavlan
Jeremy Leven
Farhan Akhtar
Joseph Gordon-Levitt
Jake Goldberger
Paul Attanasio
Richard Kelly
Tim Sutton
Tex Hauser
Nigel McKeand
Daniel Taradash
Anna Muylaert
Bruce Thierry Cheung
Sam Shepard
Joe Johnson
Michael Tully
Rick Bieber
Ramona S. Diaz
Mike Birbiglia
T. Faye Griffin
Gus Van Sant
Tony Giglio
Gregg Araki
Neil Marshall
Rick Famuyiwa
Wendy Kout
Matthew Parkhill
François Ozon
Tom DiCillo
John Patrick Shanley
Zak Forsman
Eric Hendershot
Jim Jarmusch
Myron Goble
David Jacobson
Sandra Jennings
Kris Isacsson
Bernd Eichinger
James Salter
Grant Scicluna
Julian Fellowes
Glenn O'Brien
Tom Kilpatrick
Larry Levin
Brian Clemens
Milton Subotsky
Joel Soisson
Garrett Elsden Fort
S. Craig Zahler
Robert Gosnell
Akira Toriyama
Akira Toriyama
Daniel Lee
Jing Wong
Tiffanie DeBartolo
David Loucka
John Gatins
Bill Condon
Catherine Linstrum
Carol Morley
Alex Garland
Morgan O'Neill
Joe Swanberg
Hossein Amini
Hossein Amini
Rob Thomas (II)
Colin Bateman
Casey Dillard
Henry Barrial
Matt Witten
Lona Williams
Peter Steinfeld
Angus MacQueen
Peter Gaulke
Bob Meyer
Hsiao Lung
Gary Lennon
Ryan Piers Williams
Matt Mulhern
Alan Burnett
John O'Brien
Shane Morris
Shridhar Raghavan
Ehren Kruger
Mark Goffman
Kristin Hahn
Christopher Nolan
Tony Gilroy
Milcho Manchevski
Richard Stanley
Eric Small
Dana Brown
Craig Lucas
Paul Schrader
David Leach
Eddie Griffin
Jeremy Wechter
Taika Waititi
Jason Cohn
Henry Gayden
Kyle Patrick Alvarez
Ayub Khan-Din
Anthony Lucero
Isobel Lennart
Chad Ferrin
Robin Campillo
Steven Knight
Jane Weinstock
Bert V. Royal
Adam Keleman
Maria Karlsson
Jennifer Salt
Henry Jaglom
Q. Allan Brocka
Elena Rapu
Nathan Todd Sims
Stephen Johnston
Eddie Murphy
Boris Rodriguez
Howard Goldberg
James Watkins
David Mamet
Sharman MacDonald
Todd Stephens
Rob Connolly
Elizabeth O'Halloran
David Mamet
Peter Elkoff
Richard Friedenberg
Bob Wehling
Risa Mickenberg
Dave Digilio
John Sayles
Bo Burnham
Merav Doster
Peter Greenaway
Tony Burgess
Lucía Puenzo
Fabián Bielinsky
Vince Gilligan
Leigh Brackett
Alejandro Jodorowsky
Mark Hartley
Robert Garland
Tristan Patterson
Sebastian Gutierrez
Gus Van Sant
Louis Malle
Isabel Coixet
Joe Gangemi
Sebastian Gutierrez
Cameron Crowe
David Birke
Scott Coffey
Christopher Borrelli
Neill Blomkamp
Brian Ivie
Rich Herbeck
Rodrigo Cortés
Eleanor Catton
Mark Leidner (II)
Jonathan Roberts
Carol Heikkinen
Zdenek Sverák
Naomi Wolf
Philippe Diaz
Michael Armbruster
Nicholas Klein
David Ayer
Gavin Hood
Judith Rascoe
Alejandro Jodorowsky
Bruce Brown
Joe Penhall
Glen Merzer
Javier Gullón
Wendell Mayes
Edward Khmara
David Marconi
Hanna Weg
Anthony Minghella
Gauri Shinde
Christopher Monger
Werner Herzog
Nicole Holofcener
Milena Lurie
Jason Filiatrault
Victor Teran
Jing Wong
Gaspar Noé
John Wells
Paul Lacoste
Phil Joanou
Richard Wenk
Nathan Parker
Kurt Wimmer
Arash Amel
David Lynch
Terry Jones
Daniel Pennac
Charlie Cohen
Jeff Daniels
Storm Ashwood
Richard Tuggle
Paul Dehn
Randy Moore
Miles Chapman
Andi Nachon
Melissa Mathison
Charlie Kaufman
Quentin Lee
Nils Tavernier
Michael Clancy
Andre Salas
Lisa Langseth
Paul Mayersberg
Philip Gelatt
Hugo Butler
Richard Beattie
Paul Pender
Werner Herzog
Robert Tannen
Paul Laverty
Robert Harling
Enid Zentelis
Nils Cowan
Anthony Stabley
Yale Hannon
Jeff Kaufman
Richard Trank
Richard Levine
Jesse Andrews
Nicole Holofcener
Robi Michael
Jeremy Joe Kronsberg
Asghar Farhadi
Catalina Aguilar Mastretta
Richard Linklater
Jason Todd Ipson
Tom Rickman
Dominique Deruddere
Stewart Copeland
J. Mills Goodloe
Liev Schreiber
Frazer Bradshaw
Kasi Lemmons
John Swetnam
Anthony Shaffer
Daniel A. Miller
Koen Mortier
Alex Garland
Stuart Hazeldine
Astra Taylor
Ric Klass
Dalton Trumbo
Ernest Lehman
Joanna Hogg
David Cronenberg
Jamie Nash
Rasmus Birch
William Peter Blatty
William Peter Blatty
William Goodhart
Warren Duff
Michael Almereyda
Cecilia Miniucchi
Mark Webber
Bradley Rust Gray
Eric Luke
Phil Rosenthal
Gee Malik Linton
Jean-Claude Brisseau
James Glickenhaus
Spenser Cohen
Robert Nelson Jacobs
Nacho Vigalondo
Tony Gilroy
Michael Zaidan
Michael Werwie
Guy Hibbert
Stanley Mann
Johannes Roberts
Orson Welles
Budd Schulberg
John Cassavetes
Julien Magnat
Captain Mauzner
Kevin Williamson
Brian A. Metcalf
Carlos Saura
Heiward Mak
Michael Moore
Walter Bernstein
Pan Nalin
Chazz Palminteri
Y.T. Parazi
Roy Sallows
Mari Marchbanks
Esta Spalding
Ebbe Roe Smith
Larry McMurtry
Michael Cristofer
Jeff Nimoy
Ernest Lehman
Werner Herzog
Thomas Bezucha
Matt K. Turner
Lloyd Handwerker
Chris Brown
J.K. Rowling
J.K. Rowling
Bob Dolman
Todd Haynes
Phillip Borsos
David Oelhoffen
David Nicholls
Brad Bernstein
Yael Reuveny
John Milius
Kristin Canty
Adewale Akinnuoye-Agbaje
Carlos Sandoval
Chris Morgan
Chris Morgan
Chris Morgan
Chris Morgan
Julia Hart
Chris Morgan
Cameron Crowe
Jonathan Hock
Mark Neale
Jack Moran
Mark Phinney
Leonard Gardner
Catherine Breillat
Ash Christian
István Szabó
Justin Malen
Russell J. Spencer
Mia Hansen-Løve
Riley Stearns
Hal Hartley
Stanley Kubrick
Nicholas St. John
Luke Barnett
Frank LaLoggia
Rainer Werner Fassbinder
Josephine Coyle
Allison Burnett
Robert Tinnell
Michael Corrente
Albert Leon
Steven Baigelman
Atom Egoyan
Joel Edgerton
John Waters
August Wilson
Jim Cox
John Hughes
Joseph Stein
Phil Alden Robinson
Herbert J. Leder
Dirk Wittenborn
Niall Leonard
Niall Leonard
Jim Uhls
J.P. Davis
Stephen Merchant
Rama Burshtein
Youssef Delara
James Westby
Matt Greenhalgh
Bruce McIntosh
Omar Naim
Eric Heisserer
Jimmy Huston
Kazushige Nojima
Adam Prince
Stanley Tucci
Jeff Probst
Peter Tolan
Julie Davis
Mike Rich
Aaron Bear
Elliott Baker
James Toback
Gianfranco Rosi
Stevan Riley
Tracy Torme
Tom O'Connor
Freedom Jones
Joe Forte
Nina Davenport
Jonathan Raymond
Buck Henry
Nick Gordon
Masaru Nakamura
Josh Singer
Robert Resnikoff
Paul Schrader
David E. Talbert
Robert Harling
Ron Koslow
Andrea Arnold
Jenna Mattison
Jang Min-seok
Werner Herzog
Arch Oboler
John Patrick Shanley
Maris Curran
Keith Miller
Danny Buday
Samuel Fuller
Waldo Salt
Carlos Saura
Jeff Lipsky
Szeto Kam Yuen
Ben Ripley
Joel Schumacher
Preston A. Whitmore II
Paul Morrissey
Steve Kloves
Terry M. West
Michael Benveniste
Anders Thomas Jensen
John Gatins
Hal Hartley
David O. Russell
Joseph Fields
Kayla Alpert
Stephen Leslie
Janet Grillo
James Edward Grant
Ezra Sacks
Todd Klick
Christopher Nolan
Ralph Arlyck
Sanjay Rawal
Ventura Pons
Master P
Joseph Cedar
Steven Peros
Tyler Perry
Diane Kurys
So Yong Kim
Jean-Luc Godard
Michael Love
Dana Stevens
Cas Sigers
Saul Turteltaub
Jenna Mattison
Paul Wright (XVIII)
Dudley Nichols
John Fusco
Cyril Hume
Ruben Östlund
Cory Miller
Sturla Gunnarsson
Marc Lawrence (II)
Paul Schrader
Bethany Ashton Wolf
Mark Underwood
Peter Moore Smith
Gerald DiPego
Lee Fulkerson
Steve Shagan
Eric Roth
J.S. Cardone
Brad Mirman
Frank S. Nugent
Claudia Myers
Kate Connor
Ayn Rand
Oliver Kienle
George MacDonald Fraser
Olatunde Osunsanmi
Christian Hohoff
Jack Hill
Alan B. McElroy
Roy Freirich
Brent Hanley
Les Weldon
Robert Boris
Theodore Thomas
Antonino D'Ambrosio
Bernard Rose
Anthony Hinds
Curt Siodmak
Bert Batt
John Levenstein
John August
Michael Pressman
David A. Goodman
Richard Ledes
Michael De Luca
Shola Lynch
Barbara Albert
Shana Betz
Jim Beggarly
Gary Ross
Phie Ambo
Hunter Richards
John Mattson
Robert Kaufman
Timothy A. Chey
Richard Price
Ron Nyswaner
Matthew Bright
John Simpson
Ernest Tidyman
Harold Pinter
Anthony Shaffer
Toby Emmerich
Boaz Yakin
Ryan Shiraki
Tom McLoughlin
Rob Hedden
Michael Wilson
Jennifer Westfeldt
Nicole Holofcener
Marti Noxon
Ralph Bakshi
Amos Poe
Barry Strugatz
Julian Fellowes
Kim Fuller
Adi Hasak
George Griffith
David E. Kelley
Ingmar Bergman
Ernest Lehman
Walter Bernstein
Ray Yeung
Xavier Gens
Peter Morgan
Jennifer Lee
Jennifer Lee
Courtney Hunt
Ryan Coogler
Jeremy Podeswa
Yin Nam
Coleman Hough
Eric Rohmer
Yuichi Shinpo
Allan Weiss
Julie Rudd
Leonard Gershe
Judd Apatow
Erin Cressida Wilson
Barry Strugatz
David Ayer
Jenny Deller
Bill Condon
Mohsen Makhmalbaf
Louise Archambault
William Sachs
Robert Gordon
Jim Hammett
Danny Strong
Mark Perez
Anders Holm
Don DeLillo
Jim Kouf
Johnny Ferguson
Will Beall
Larry Grusin
Jason Freeland
Zach Braff
Ronald Bass
Damian Harris
Allison Anders
Josh Fox
Michael Nankin
John Kare Raake
William Norton
Andrew Niccol
Jonathan Lisecki
George Northy
Manoel de Oliveira
Aaron Katz (II)
Robert Persons
Barbet Schroeder
Vlad Yudin
Mark Mann
Roko Belic
John Logan
Gregory Marquette
Moss Hart
Edmund Entin
Jordan Moffet
Mark Andrus
Corinna Belz
José Alba
Jeff Reichert
Michael Thomas Daniel
Jay Martel
Martha Higareda
Reggie Rock Bythewood
Jordan Peele
Bertrand Blier
Patrick Wilde
Christopher Smith (VIII)
Scott Frank
Robert Kaufman
A.R. Murugadoss
Philip Dunne
William Goldman
Jim Jarmusch
Mamoru Oshii
W. Scott Darling
Peter Warren
John Maringouin
John Lucas
Lewis Colick
Eric Bress
Keith Behrman
Gabrielle Upton
Tom Flynn
Adrián Biniez
Martin Brest
Jim Jarmusch
Ron Krauss
Adam Leon
Sally Potter
Karen Walton
Angelo Tijssens
David Stenn
Hiram Martínez
Michelle Morgan
Jeremy Leven
Travis Stevens
Jonas Frykberg
Olivia Hetreed
Edna O'Brien
Karyn Kusama
Justin Lerner
Céline Sciamma
Austin Chick
Eva Husson
M. Night Shyamalan
Noah Buschel
Wesley Strick
Edward D. Wood Jr.
David Mamet
Kevin Brodbin
Kate Lanier
Sabina Berman
