player_name,team_name,player_height,country,draft_year,draft_round,college,age,season
Robert Pack,Dallas Mavericks,187.96,USA,Undrafted,Undrafted,Southern California,30.0,1998-99
Rik Smits,Indiana Pacers,223.52,USA,1988,1,Marist,32.0,1998-99
Pat Garrity,Phoenix Suns,205.74,USA,1998,1,Notre Dame,22.0,1998-99
Patrick Ewing,New York Knicks,213.36,Jamaica,1985,1,Georgetown,36.0,1998-99
Paul Grant,Milwaukee Bucks,213.36,USA,1997,1,Wisconsin,25.0,1998-99
Paul Pierce,Boston Celtics,200.66,USA,1998,1,Kansas,21.0,1998-99
Peja Stojakovic,Sacramento Kings,205.74,Serbia and Montenegro,1996,1,,22.0,1998-99
Pete Chilcutt,Vancouver Grizzlies,208.28,USA,1991,1,North Carolina,30.0,1998-99
Peter Aluma,Sacramento Kings,208.28,USA,Undrafted,Undrafted,Liberty,26.0,1998-99
Pooh Richardson,Los Angeles Clippers,185.42,USA,1989,1,UCLA,33.0,1998-99
Popeye Jones,Boston Celtics,203.2,USA,1992,2,Murray State,29.0,1998-99
Raef LaFrentz,Denver Nuggets,210.82,USA,1998,1,Kansas,23.0,1998-99
Randell Jackson,Washington Wizards,210.82,USA,1999,Undrafted,Florida State,23.0,1998-99
Randy Brown,Chicago Bulls,187.96,USA,1991,2,New Mexico State,31.0,1998-99
Robert Horry,Los Angeles Lakers,208.28,USA,1992,1,Alabama,28.0,1998-99
Randy Livingston,Phoenix Suns,193.04,USA,1996,2,Louisiana State,24.0,1998-99
Rasheed Wallace,Portland Trail Blazers,210.82,USA,1995,1,North Carolina,24.0,1998-99
Rasho Nesterovic,Minnesota Timberwolves,213.36,Slovenia,1998,1,,23.0,1998-99
Ray Allen,Milwaukee Bucks,195.58,USA,1996,1,Connecticut,23.0,1998-99
Reggie Jordan,Minnesota Timberwolves,193.04,USA,Undrafted,Undrafted,New Mexico State,31.0,1998-99
Reggie Miller,Indiana Pacers,200.66,USA,1987,1,UCLA,33.0,1998-99
Reggie Slater,Toronto Raptors,200.66,USA,Undrafted,Undrafted,Wyoming,28.0,1998-99
Rex Chapman,Phoenix Suns,193.04,USA,1988,1,Kentucky,31.0,1998-99
Rex Walters,Miami Heat,193.04,USA,1993,1,Kansas,29.0,1998-99
Rick Brunson,New York Knicks,193.04,USA,Undrafted,Undrafted,Temple,27.0,1998-99
Rick Fox,Los Angeles Lakers,200.66,Canada,1991,1,North Carolina,29.0,1998-99
Rick Mahorn,Philadelphia 76ers,208.28,USA,1980,2,Hampton,40.0,1998-99
Ricky Davis,Charlotte Hornets,200.66,USA,1998,1,Iowa,19.0,1998-99
Rashard Lewis,Seattle SuperSonics,208.28,USA,1998,2,,19.0,1998-99
P.J. Brown,Miami Heat,210.82,USA,1992,2,Louisiana Tech,29.0,1998-99
Shawn Kemp,Cleveland Cavaliers,208.28,USA,1989,1,Trinity Valley Community College,29.0,1998-99
Sherman Douglas,Los Angeles Clippers,185.42,USA,1989,2,Syracuse,32.0,1998-99
Tracy Murray,Washington Wizards,200.66,USA,1992,1,UCLA,27.0,1998-99
Travis Best,Indiana Pacers,180.34,USA,1995,1,Georgia Tech,26.0,1998-99
Travis Knight,Los Angeles Lakers,213.36,USA,1996,1,Connecticut,24.0,1998-99
Travis Williams,Charlotte Hornets,198.12,USA,Undrafted,Undrafted,South Carolina State,30.0,1998-99
Trevor Winter,Minnesota Timberwolves,213.36,USA,Undrafted,Undrafted,Minnesota,25.0,1998-99
Troy Hudson,Los Angeles Clippers,185.42,USA,Undrafted,Undrafted,Southern Illinois,23.0,1998-99
Tyrone Corbin,Atlanta Hawks,198.12,USA,1985,2,DePaul,36.0,1998-99
Tyrone Hill,Philadelphia 76ers,205.74,USA,1990,1,Xavier,31.0,1998-99
Tyrone Nesby,Los Angeles Clippers,198.12,USA,Undrafted,Undrafted,Nevada-Las Vegas,23.0,1998-99
Tyronn Lue,Los Angeles Lakers,182.88,USA,1998,1,Nebraska,22.0,1998-99
Tyson Wheeler,Denver Nuggets,177.8,USA,1998,2,Rhode Island,23.0,1998-99
Vernon Maxwell,Sacramento Kings,193.04,USA,1988,2,Florida,33.0,1998-99
Tracy McGrady,Toronto Raptors,203.2,USA,1997,1,,20.0,1998-99
Vin Baker,Seattle SuperSonics,210.82,USA,1993,1,Hartford,27.0,1998-99
Vinny Del Negro,Milwaukee Bucks,193.04,USA,1988,2,North Carolina State,32.0,1998-99
Vitaly Potapenko,Boston Celtics,208.28,Ukraine,1996,1,Wright State,24.0,1998-99
Vlade Divac,Sacramento Kings,215.9,Serbia and Montenegro,1989,1,,31.0,1998-99
Vladimir Stepania,Seattle SuperSonics,213.36,Georgia,1998,1,,23.0,1998-99
Voshon Lenard,Miami Heat,193.04,USA,1994,2,Minnesota,26.0,1998-99
Walt Williams,Portland Trail Blazers,203.2,USA,1992,1,Maryland,29.0,1998-99
Walter McCarty,Boston Celtics,208.28,USA,1996,1,Kentucky,25.0,1998-99
Wesley Person,Cleveland Cavaliers,198.12,USA,1994,1,Auburn,28.0,1998-99
Will Perdue,San Antonio Spurs,213.36,USA,1988,1,Vanderbilt,33.0,1998-99
William Cunningham,New Jersey Nets,210.82,USA,Undrafted,Undrafted,Temple,25.0,1998-99
Willie Burton,Charlotte Hornets,203.2,USA,1990,1,Minnesota,31.0,1998-99
Zydrunas Ilgauskas,Cleveland Cavaliers,220.98,Lithuania,1996,1,,24.0,1998-99
Vince Carter,Toronto Raptors,200.66,USA,1998,1,North Carolina,22.0,1998-99
Shawn Respert,Phoenix Suns,185.42,USA,1995,1,Michigan State,27.0,1998-99
Tony Massenburg,Vancouver Grizzlies,205.74,USA,1990,2,Maryland,31.0,1998-99
Tony Battie,Boston Celtics,210.82,USA,1997,1,Texas Tech,23.0,1998-99
Stacey Augmon,Portland Trail Blazers,203.2,USA,1991,1,Nevada-Las Vegas,30.0,1998-99
Stanley Roberts,Houston Rockets,213.36,USA,1991,1,Louisiana State,29.0,1998-99
Stephon Marbury,New Jersey Nets,187.96,USA,1996,1,Georgia Tech,22.0,1998-99
Steve Henson,Detroit Pistons,180.34,USA,1990,2,Kansas State,31.0,1998-99
Steve Kerr,San Antonio Spurs,190.5,USA,1988,2,Arizona,33.0,1998-99
Steve Nash,Dallas Mavericks,190.5,Canada,1996,1,Santa Clara,25.0,1998-99
Steven Smith,Atlanta Hawks,203.2,USA,1991,1,Michigan State,30.0,1998-99
Stojko Vrankovic,Los Angeles Clippers,218.44,USA,Undrafted,Undrafted,,35.0,1998-99
Tariq Abdul-Wahad,Sacramento Kings,198.12,France,1997,1,San Jose State,24.0,1998-99
Terrell Brandon,Minnesota Timberwolves,180.34,USA,1991,1,Oregon,29.0,1998-99
Terry Cummings,Golden State Warriors,205.74,USA,1982,1,DePaul,38.0,1998-99
Terry Davis,Washington Wizards,205.74,USA,Undrafted,Undrafted,Virginia Union,32.0,1998-99
Tony Delk,Golden State Warriors,187.96,USA,1996,1,Kentucky,25.0,1998-99
Terry Dehere,Vancouver Grizzlies,193.04,USA,1993,1,Seton Hall,27.0,1998-99
Terry Porter,Miami Heat,190.5,USA,1985,1,Wisconsin-Stevens Point,36.0,1998-99
Theo Ratliff,Philadelphia 76ers,208.28,USA,1995,1,Wyoming,26.0,1998-99
Thurl Bailey,Utah Jazz,210.82,USA,1983,1,North Carolina State,38.0,1998-99
Tim Duncan,San Antonio Spurs,213.36,US Virgin Islands,1997,1,Wake Forest,23.0,1998-99
Tim Hardaway,Miami Heat,182.88,USA,1989,1,Texas-El Paso,32.0,1998-99
Tim Legler,Washington Wizards,193.04,USA,Undrafted,Undrafted,La Salle,32.0,1998-99
Tim Thomas,Milwaukee Bucks,208.28,USA,1997,1,Villanova,22.0,1998-99
Toby Bailey,Phoenix Suns,198.12,USA,1998,2,UCLA,23.0,1998-99
Todd Fuller,Utah Jazz,210.82,USA,1996,1,North Carolina State,24.0,1998-99
Tom Gugliotta,Phoenix Suns,208.28,USA,1992,1,North Carolina State,29.0,1998-99
Tom Hammonds,Minnesota Timberwolves,205.74,USA,1989,1,Georgia Tech,32.0,1998-99
Toni Kukoc,Chicago Bulls,210.82,Croatia,1990,2,,30.0,1998-99
Terry Mills,Miami Heat,208.28,USA,1990,1,Michigan,31.0,1998-99
Otis Thorpe,Washington Wizards,208.28,USA,1984,1,Providence,36.0,1998-99
Shammond Williams,Atlanta Hawks,185.42,USA,1998,2,North Carolina,24.0,1998-99
Oliver Miller,Sacramento Kings,205.74,USA,1992,1,Arkansas,29.0,1998-99
John Stockton,Utah Jazz,185.42,USA,1984,1,Gonzaga,37.0,1998-99
John Thomas,Toronto Raptors,205.74,USA,1997,1,Minnesota,23.0,1998-99
John Wallace,Toronto Raptors,205.74,USA,1996,1,Syracuse,25.0,1998-99
Johnny Newman,Cleveland Cavaliers,200.66,USA,1986,2,Richmond,35.0,1998-99
Johnny Taylor,Denver Nuggets,205.74,USA,1997,1,Tennessee-Chattanooga,25.0,1998-99
Jon Barry,Sacramento Kings,195.58,USA,1992,1,Georgia Tech,29.0,1998-99
Jonathan Kerner,Orlando Magic,210.82,USA,Undrafted,Undrafted,East Carolina,25.0,1998-99
Jud Buechler,Detroit Pistons,198.12,USA,1990,2,Arizona,31.0,1998-99
Othella Harrington,Houston Rockets,205.74,USA,1996,2,Georgetown,25.0,1998-99
Juwan Howard,Washington Wizards,205.74,USA,1994,1,Michigan,26.0,1998-99
Karl Malone,Utah Jazz,205.74,USA,1985,1,Louisiana Tech,35.0,1998-99
Keith Askins,Miami Heat,203.2,USA,Undrafted,Undrafted,Alabama,31.0,1998-99
John Starks,Golden State Warriors,195.58,USA,Undrafted,Undrafted,Oklahoma State,33.0,1998-99
Keith Booth,Chicago Bulls,198.12,USA,1997,1,Maryland,24.0,1998-99
Keith Van Horn,New Jersey Nets,208.28,USA,1997,1,Utah,23.0,1998-99
Kelly McCarty,Denver Nuggets,200.66,USA,Undrafted,Undrafted,Southern Mississippi,23.0,1998-99
Kendall Gill,New Jersey Nets,195.58,USA,1990,1,Illinois,31.0,1998-99
Kenny Anderson,Boston Celtics,185.42,USA,1991,1,Georgia Tech,28.0,1998-99
Keon Clark,Denver Nuggets,210.82,USA,1998,1,Nevada-Las Vegas,24.0,1998-99
Kerry Kittles,New Jersey Nets,195.58,USA,1996,1,Villanova,25.0,1998-99
Kevin Garnett,Minnesota Timberwolves,210.82,USA,1995,1,,23.0,1998-99
Kevin Ollie,Orlando Magic,193.04,USA,Undrafted,Undrafted,Connecticut,26.0,1998-99
Kevin Willis,Toronto Raptors,213.36,USA,1984,1,Michigan State,36.0,1998-99
Khalid Reeves,Detroit Pistons,190.5,USA,1994,1,Arizona,26.0,1998-99
Kobe Bryant,Los Angeles Lakers,200.66,USA,1996,1,,20.0,1998-99
Korleone Young,Detroit Pistons,200.66,USA,1998,2,,20.0,1998-99
Keith Closs,Los Angeles Clippers,220.98,USA,Undrafted,Undrafted,Central Connecticut State,23.0,1998-99
Kornel David,Chicago Bulls,205.74,USA,Undrafted,Undrafted,,27.0,1998-99
John Crotty,Seattle SuperSonics,187.96,USA,Undrafted,Undrafted,Virginia,29.0,1998-99
Joe Wolf,Charlotte Hornets,210.82,USA,1987,1,North Carolina,34.0,1998-99
James Cotton,Seattle SuperSonics,195.58,USA,1997,2,Long Beach State,23.0,1998-99
James Robinson,Minnesota Timberwolves,187.96,USA,1993,1,Alabama,28.0,1998-99
Jamie Feick,New Jersey Nets,203.2,USA,1996,2,Michigan State,24.0,1998-99
Jamie Watson,Miami Heat,200.66,USA,1994,2,South Carolina,27.0,1998-99
Jaren Jackson,San Antonio Spurs,198.12,USA,Undrafted,Undrafted,Georgetown,31.0,1998-99
Jason Caffey,Golden State Warriors,203.2,USA,1995,1,Alabama,26.0,1998-99
Jason Kidd,Phoenix Suns,193.04,USA,1994,1,California,26.0,1998-99
Jason Sasser,Vancouver Grizzlies,200.66,USA,1996,2,Texas Tech,25.0,1998-99
Jason Williams,Sacramento Kings,185.42,USA,1998,1,Florida,23.0,1998-99
Jayson Williams,New Jersey Nets,205.74,USA,1990,1,St. John's (NY),31.0,1998-99
Jeff Hornacek,Utah Jazz,193.04,USA,1986,2,Iowa State,36.0,1998-99
Jeff McInnis,Washington Wizards,193.04,USA,1996,2,North Carolina,24.0,1998-99
John Coker,Washington Wizards,213.36,USA,Undrafted,Undrafted,Boise State,27.0,1998-99
Jeff Sheppard,Atlanta Hawks,190.5,USA,Undrafted,Undrafted,Kentucky,24.0,1998-99
Jerald Honeycutt,Philadelphia 76ers,205.74,USA,1997,2,Tulane,24.0,1998-99
Jermaine O'Neal,Portland Trail Blazers,210.82,USA,1996,1,,20.0,1998-99
Jerome James,Sacramento Kings,215.9,USA,1998,2,Florida A&M,23.0,1998-99
Jerome Kersey,San Antonio Spurs,200.66,USA,1984,2,Longwood,37.0,1998-99
Jerome Williams,Detroit Pistons,205.74,USA,1996,1,Georgetown,26.0,1998-99
Jerry Stackhouse,Detroit Pistons,198.12,USA,1995,1,North Carolina,24.0,1998-99
Jim Jackson,Portland Trail Blazers,198.12,USA,1992,1,Ohio State,28.0,1998-99
Jim McIlvaine,New Jersey Nets,215.9,USA,1994,2,Marquette,26.0,1998-99
Jimmy Oliver,Phoenix Suns,195.58,USA,1991,2,Purdue,29.0,1998-99
Joe Dumars,Detroit Pistons,190.5,USA,1985,1,McNeese State,36.0,1998-99
Joe Kleine,Phoenix Suns,213.36,USA,1985,1,Arkansas,37.0,1998-99
Joe Smith,Minnesota Timberwolves,208.28,USA,1995,1,Maryland,23.0,1998-99
Jelani McCoy,Seattle SuperSonics,208.28,USA,1998,2,UCLA,21.0,1998-99
Kurt Thomas,New York Knicks,205.74,USA,1995,1,Texas Christian,26.0,1998-99
Scot Pollard,Sacramento Kings,210.82,USA,1997,1,Kansas,24.0,1998-99
Lamond Murray,Los Angeles Clippers,200.66,USA,1994,1,California,26.0,1998-99
Mikki Moore,Detroit Pistons,213.36,USA,Undrafted,Undrafted,Nebraska,23.0,1998-99
Mike Bibby,Vancouver Grizzlies,187.96,USA,1998,1,Arizona,21.0,1998-99
Micheal Williams,Toronto Raptors,187.96,USA,1988,2,Baylor,32.0,1998-99
Michael Stewart,Toronto Raptors,208.28,USA,Undrafted,Undrafted,California,24.0,1998-99
Michael Smith,Vancouver Grizzlies,203.2,USA,1994,2,Providence,27.0,1998-99
Michael Olowokandi,Los Angeles Clippers,213.36,Nigeria,1998,1,Pacific,24.0,1998-99
Michael Hawkins,Sacramento Kings,182.88,USA,Undrafted,Undrafted,Xavier,26.0,1998-99
Michael Finley,Dallas Mavericks,200.66,USA,1995,1,Wisconsin,26.0,1998-99
Michael Doleac,Orlando Magic,210.82,USA,1998,1,Utah,22.0,1998-99
Michael Dickerson,Houston Rockets,195.58,USA,1998,1,Arizona,24.0,1998-99
Michael Curry,Milwaukee Bucks,195.58,USA,Undrafted,Undrafted,Georgia Southern,30.0,1998-99
Maurice Taylor,Los Angeles Clippers,205.74,USA,1997,1,Michigan,22.0,1998-99
Matt Maloney,Houston Rockets,190.5,USA,Undrafted,Undrafted,Pennsylvania,27.0,1998-99
Matt Harpring,Orlando Magic,200.66,USA,1998,1,Georgia Tech,23.0,1998-99
Matt Bullard,Houston Rockets,208.28,USA,Undrafted,Undrafted,Iowa,32.0,1998-99
Marty Conlon,Miami Heat,208.28,USA,Undrafted,Undrafted,Providence,31.0,1998-99
Marlon Garnett,Boston Celtics,187.96,USA,Undrafted,Undrafted,Santa Clara,23.0,1998-99
Marko Milic,Phoenix Suns,198.12,Slovenia,1997,2,,22.0,1998-99
Mark West,Atlanta Hawks,208.28,USA,1983,2,Old Dominion,38.0,1998-99
Mark Strickland,Miami Heat,208.28,USA,Undrafted,Undrafted,Temple,28.0,1998-99
Mark Bryant,Chicago Bulls,205.74,USA,1988,1,Seton Hall,34.0,1998-99
Mark Pope,Indiana Pacers,208.28,USA,1996,2,Kentucky,26.0,1998-99
Mark Macon,Detroit Pistons,193.04,USA,1991,1,Temple,30.0,1998-99
Mark Jackson,Indiana Pacers,190.5,USA,1987,1,St. John's (NY),34.0,1998-99
Mark Hendrickson,New Jersey Nets,205.74,USA,1996,2,Washington State,25.0,1998-99
Mark Davis,Miami Heat,200.66,USA,1995,2,Texas Tech,26.0,1998-99
LaPhonso Ellis,Atlanta Hawks,203.2,USA,1992,1,Notre Dame,29.0,1998-99
Miles Simon,Orlando Magic,190.5,USA,1998,2,Arizona,23.0,1998-99
Mitch Richmond,Washington Wizards,195.58,USA,1988,1,Kansas State,33.0,1998-99
Matt Geiger,Philadelphia 76ers,215.9,USA,1992,2,Georgia Tech,29.0,1998-99
Monty Williams,Denver Nuggets,203.2,USA,1994,1,Notre Dame,27.0,1998-99
Larry Hughes,Philadelphia 76ers,195.58,USA,1998,1,Saint Louis,20.0,1998-99
Mitchell Butler,Cleveland Cavaliers,195.58,USA,Undrafted,Undrafted,UCLA,28.0,1998-99
Larry Johnson,New York Knicks,200.66,USA,1991,1,Nevada-Las Vegas,30.0,1998-99
Latrell Sprewell,New York Knicks,195.58,USA,1992,1,Alabama,28.0,1998-99
Lawrence Funderburke,Sacramento Kings,205.74,USA,1994,2,Ohio State,28.0,1998-99
Lee Mayberry,Vancouver Grizzlies,185.42,USA,1992,1,Arkansas,29.0,1998-99
Lindsey Hunter,Detroit Pistons,187.96,USA,1993,1,Jackson State,28.0,1998-99
Litterial Green,Cleveland Cavaliers,185.42,USA,1992,2,Georgia,29.0,1998-99
Lorenzen Wright,Los Angeles Clippers,210.82,USA,1996,1,Memphis,23.0,1998-99
Loy Vaught,Detroit Pistons,205.74,USA,1990,1,Michigan,31.0,1998-99
Luc Longley,Phoenix Suns,218.44,USA,1991,1,New Mexico,30.0,1998-99
Lucious Harris,New Jersey Nets,195.58,USA,1993,2,Long Beach State,28.0,1998-99
Malik Rose,San Antonio Spurs,200.66,USA,1996,2,Drexel,24.0,1998-99
Loren Meyer,Denver Nuggets,208.28,USA,1995,1,Iowa State,26.0,1998-99
Nick Anderson,Orlando Magic,198.12,USA,1989,1,Illinois,31.0,1998-99
Mookie Blaylock,Atlanta Hawks,185.42,USA,1989,1,Oklahoma,32.0,1998-99
Malik Sealy,Minnesota Timberwolves,203.2,USA,1992,1,St. John's (NY),29.0,1998-99
Muggsy Bogues,Golden State Warriors,160.02,USA,1987,1,Wake Forest,34.0,1998-99
Nazr Mohammed,Philadelphia 76ers,208.28,USA,1998,1,Kentucky,21.0,1998-99
Negele Knight,Toronto Raptors,185.42,USA,1990,2,Dayton,32.0,1998-99
Nick Van Exel,Denver Nuggets,185.42,USA,1993,2,Cincinnati,27.0,1998-99
Moochie Norris,Seattle SuperSonics,187.96,USA,1996,2,West Florida,25.0,1998-99
Mark Baker,Toronto Raptors,185.42,USA,Undrafted,Undrafted,Ohio State,29.0,1998-99
Mario Elie,San Antonio Spurs,195.58,USA,1985,7,American International,35.0,1998-99
Mario Bennett,Chicago Bulls,198.12,USA,1995,1,Arizona State,25.0,1998-99
Marcus Camby,New York Knicks,210.82,USA,1996,1,Massachusetts,25.0,1998-99
Olden Polynice,Seattle SuperSonics,213.36,USA,1987,1,Virginia,34.0,1998-99
Michael Smith,Washington Wizards,203.2,USA,1994,2,Providence,28.0,1999-00
Michael Finley,Dallas Mavericks,200.66,USA,1995,1,Wisconsin,27.0,1999-00
Michael Stewart,Toronto Raptors,208.28,USA,Undrafted,Undrafted,California,25.0,1999-00
Michael Ruffin,Chicago Bulls,205.74,USA,1999,2,Tulsa,23.0,1999-00
Michael Olowokandi,Los Angeles Clippers,213.36,Nigeria,1998,1,Pacific,25.0,1999-00
Michael Hawkins,Charlotte Hornets,182.88,USA,Undrafted,Undrafted,Xavier,27.0,1999-00
Maurice Taylor,Los Angeles Clippers,205.74,USA,1997,1,Michigan,23.0,1999-00
Metta World Peace,Chicago Bulls,198.12,USA,1999,1,St. John's (NY),20.0,1999-00
Michael Dickerson,Vancouver Grizzlies,195.58,USA,1998,1,Arizona,25.0,1999-00
Michael Curry,Detroit Pistons,195.58,USA,Undrafted,Undrafted,Georgia Southern,31.0,1999-00
Michael Cage,New Jersey Nets,205.74,USA,1984,1,San Diego State,38.0,1999-00
Mike Bibby,Vancouver Grizzlies,187.96,USA,1998,1,Arizona,22.0,1999-00
Matt Maloney,Chicago Bulls,190.5,USA,Undrafted,Undrafted,Pennsylvania,28.0,1999-00
Michael Doleac,Orlando Magic,210.82,USA,1998,1,Utah,23.0,1999-00
Mikki Moore,Detroit Pistons,213.36,USA,Undrafted,Undrafted,Nebraska,24.0,1999-00
Othella Harrington,Vancouver Grizzlies,205.74,USA,1996,2,Georgetown,26.0,1999-00
Mirsad Turkcan,Milwaukee Bucks,205.74,USA,1998,1,,24.0,1999-00
Jeff Hornacek,Utah Jazz,193.04,USA,1986,2,Iowa State,37.0,1999-00
Matt Harpring,Orlando Magic,200.66,USA,1998,1,Georgia Tech,24.0,1999-00
P.J. Brown,Miami Heat,210.82,USA,1992,2,Louisiana Tech,30.0,1999-00
Otis Thorpe,Miami Heat,208.28,USA,1984,1,Providence,37.0,1999-00
Oliver Miller,Phoenix Suns,205.74,USA,1992,1,Arkansas,30.0,1999-00
Olden Polynice,Utah Jazz,213.36,USA,1987,1,Virginia,35.0,1999-00
Obinna Ekezie,Vancouver Grizzlies,205.74,Nigeria,1999,2,Maryland,24.0,1999-00
Nick Van Exel,Denver Nuggets,185.42,USA,1993,2,Cincinnati,28.0,1999-00
Nick Anderson,Sacramento Kings,198.12,USA,1989,1,Illinois,32.0,1999-00
Nazr Mohammed,Philadelphia 76ers,208.28,USA,1998,1,Kentucky,22.0,1999-00
Muggsy Bogues,Toronto Raptors,160.02,USA,1987,1,Wake Forest,35.0,1999-00
Mookie Blaylock,Golden State Warriors,185.42,USA,1989,1,Oklahoma,33.0,1999-00
Moochie Norris,Houston Rockets,185.42,USA,1996,2,West Florida,26.0,1999-00
Monty Williams,Orlando Magic,203.2,USA,1994,1,Notre Dame,28.0,1999-00
Mitch Richmond,Washington Wizards,195.58,USA,1988,1,Kansas State,35.0,1999-00
Milt Palacio,Vancouver Grizzlies,190.5,Belize,Undrafted,Undrafted,Colorado State,22.0,1999-00
Matt Geiger,Philadelphia 76ers,215.9,USA,1992,2,Georgia Tech,30.0,1999-00
Mario Bennett,Los Angeles Clippers,198.12,USA,1995,1,Arizona State,26.0,1999-00
Marty Conlon,Los Angeles Clippers,208.28,USA,Undrafted,Undrafted,Providence,32.0,1999-00
Johnny Newman,New Jersey Nets,200.66,USA,1986,2,Richmond,36.0,1999-00
Johnny Taylor,Orlando Magic,205.74,USA,1997,1,Tennessee-Chattanooga,26.0,1999-00
Jon Barry,Sacramento Kings,195.58,USA,1992,1,Georgia Tech,30.0,1999-00
Jonathan Bender,Indiana Pacers,210.82,USA,1999,1,,19.0,1999-00
Jud Buechler,Detroit Pistons,198.12,USA,1990,2,Arizona,32.0,1999-00
Jumaine Jones,Philadelphia 76ers,203.2,USA,1999,1,Georgia,21.0,1999-00
John Wallace,New York Knicks,205.74,USA,1996,1,Syracuse,26.0,1999-00
Juwan Howard,Washington Wizards,205.74,USA,1994,1,Michigan,27.0,1999-00
Keith Closs,Los Angeles Clippers,220.98,USA,Undrafted,Undrafted,Central Connecticut State,24.0,1999-00
Keith Van Horn,New Jersey Nets,208.28,USA,1997,1,Utah,24.0,1999-00
Kelvin Cato,Houston Rockets,210.82,USA,1997,1,Iowa State,25.0,1999-00
Kendall Gill,New Jersey Nets,195.58,USA,1990,1,Illinois,32.0,1999-00
Kenny Anderson,Boston Celtics,185.42,USA,1991,1,Georgia Tech,29.0,1999-00
Kenny Thomas,Houston Rockets,203.2,USA,1999,1,New Mexico,22.0,1999-00
Karl Malone,Utah Jazz,205.74,USA,1985,1,Louisiana Tech,36.0,1999-00
John Thomas,Toronto Raptors,205.74,USA,1997,1,Minnesota,24.0,1999-00
John Stockton,Utah Jazz,185.42,USA,1984,1,Gonzaga,38.0,1999-00
John Starks,Chicago Bulls,190.5,USA,Undrafted,Undrafted,Oklahoma State,34.0,1999-00
Jeff McInnis,Los Angeles Clippers,193.04,USA,1996,2,North Carolina,25.0,1999-00
Jelani McCoy,Seattle SuperSonics,208.28,USA,1998,2,UCLA,22.0,1999-00
Jermaine O'Neal,Portland Trail Blazers,210.82,USA,1996,1,,21.0,1999-00
Jerome Kersey,San Antonio Spurs,200.66,USA,1984,2,Longwood,38.0,1999-00
Jerome Williams,Detroit Pistons,205.74,USA,1996,1,Georgetown,27.0,1999-00
Jerry Stackhouse,Detroit Pistons,198.12,USA,1995,1,North Carolina,25.0,1999-00
Jim Jackson,Atlanta Hawks,198.12,USA,1992,1,Ohio State,29.0,1999-00
Jim McIlvaine,New Jersey Nets,215.9,USA,1994,2,Marquette,27.0,1999-00
Joe Kleine,Portland Trail Blazers,210.82,USA,1985,1,Arkansas,38.0,1999-00
Joe Smith,Minnesota Timberwolves,208.28,USA,1995,1,Maryland,24.0,1999-00
Joe Stephens,Vancouver Grizzlies,200.66,USA,Undrafted,Undrafted,Arkansas-Little Rock,27.0,1999-00
John Amaechi,Orlando Magic,208.28,England,Undrafted,Undrafted,Penn State,29.0,1999-00
John Celestand,Los Angeles Lakers,193.04,USA,1999,2,Villanova,23.0,1999-00
John Crotty,Detroit Pistons,187.96,USA,Undrafted,Undrafted,Virginia,30.0,1999-00
John Salley,Los Angeles Lakers,210.82,USA,1986,1,Georgia Tech,36.0,1999-00
Keon Clark,Denver Nuggets,210.82,USA,1998,1,Nevada-Las Vegas,25.0,1999-00
Matt Bullard,Houston Rockets,208.28,USA,Undrafted,Undrafted,Iowa,33.0,1999-00
Kevin Garnett,Minnesota Timberwolves,210.82,USA,1995,1,,24.0,1999-00
Kevin Ollie,Philadelphia 76ers,193.04,USA,Undrafted,Undrafted,Connecticut,27.0,1999-00
Loy Vaught,Detroit Pistons,205.74,USA,1990,1,Michigan,32.0,1999-00
Luc Longley,Phoenix Suns,218.44,USA,1991,1,New Mexico,31.0,1999-00
Lucious Harris,New Jersey Nets,195.58,USA,1993,2,Long Beach State,29.0,1999-00
Malik Rose,San Antonio Spurs,200.66,USA,1996,2,Drexel,25.0,1999-00
Malik Sealy,Minnesota Timberwolves,203.2,USA,1992,1,St. John's (NY),30.0,1999-00
Marcus Brown,Detroit Pistons,190.5,USA,1996,2,Murray State,26.0,1999-00
Lorenzo Williams,Washington Wizards,205.74,USA,Undrafted,Undrafted,Stetson,30.0,1999-00
Marcus Camby,New York Knicks,210.82,USA,1996,1,Massachusetts,26.0,1999-00
Mark Bryant,Cleveland Cavaliers,205.74,USA,1988,1,Seton Hall,35.0,1999-00
Mark Davis,Golden State Warriors,200.66,USA,1995,2,Texas Tech,27.0,1999-00
Mark Hendrickson,New Jersey Nets,205.74,USA,1996,2,Washington State,26.0,1999-00
Mark Jackson,Indiana Pacers,190.5,USA,1987,1,St. John's (NY),35.0,1999-00
Mark Strickland,Miami Heat,208.28,USA,Undrafted,Undrafted,Temple,29.0,1999-00
Mark West,Phoenix Suns,208.28,USA,1983,2,Old Dominion,39.0,1999-00
Mario Elie,San Antonio Spurs,195.58,USA,1985,7,American International,36.0,1999-00
Lorenzen Wright,Atlanta Hawks,210.82,USA,1996,1,Memphis,24.0,1999-00
Lindsey Hunter,Detroit Pistons,187.96,USA,1993,1,Jackson State,29.0,1999-00
Lazaro Borrell,Seattle SuperSonics,203.2,USA,Undrafted,Undrafted,,27.0,1999-00
Kevin Willis,Toronto Raptors,213.36,USA,1984,1,Michigan State,37.0,1999-00
Khalid Reeves,Chicago Bulls,190.5,USA,1994,1,Arizona,27.0,1999-00
Kiwane Garris,Orlando Magic,187.96,USA,Undrafted,Undrafted,Illinois,25.0,1999-00
