,rotten_tomatoes_link,movie_title,movie_info,genres,secondary_genre
99,m/10008606-eye,The Eye,"Blind for most of her life, concert violinist Sydney Wells (Jessica Alba) is the recipient of a double corneal transplant that restores her sight at long last. With the help of her doctor (Alessandro Nivola) and sister (Parker Posey), she learns to see again. Soon, however, frightening visions convince her that a terrifying alternate world exists, and only she can see it.","Drama, Horror, Mystery & Suspense", Horror
100,m/10008607-day_of_the_dead,Day of the Dead,"After zombies take over the world, a group of survivors struggles to survive within a bunker.","Horror, Mystery & Suspense", Mystery & Suspense
101,m/10008611-my_best_friends_girl,My Best Friend's Girl,"Lovestruck Dustin (Jason Biggs) is dating Alexis (Kate Hudson), his ideal girlfriend, but when she dumps him for coming on too strong, Dustin takes drastic measures to win her back. He asks his pal Tank (Dane Cook) to take her on a horrible date so that she will come running back to him, and Tank happily agrees. However, Alexis is more than a match for Tank's shock tactics, leaving him torn between loyalty to Dustin and a growing attraction toward Alexis.","Comedy, Drama", Drama
102,m/10008613-burrowers,The Burrowers,A rescue party comes face to face with underground creatures attacking a town.,"Horror, Mystery & Suspense, Western", Mystery & Suspense
103,m/10008617-midnight_meat_train,The Midnight Meat Train,"When struggling photographer Leon Kaufman (Bradley Cooper) meets the owner of a prominent art gallery, he sees a chance for the success that has, so far, eluded him. Determined to show the darker side of humanity for his debut showing, Leon crosses paths with Mahogany (Vinnie Jones) a serial killer who preys on late-night subway commuters. His fascination with Mahogany pulls him -- and his lover (Leslie Bibb) -- deep into an evil abyss.","Drama, Horror, Mystery & Suspense", Horror
104,m/10008618-return,The Lucky Ones,"Stuck at a closed airport while on leave from Iraq War service, soldiers Colee Dunn (Rachel McAdams), Fred Cheaver (Tim Robbins) and T.K. Poole (Michael Peña) decide to carpool to get to their far-off destinations. Colee wants to visit with her late fiancé's family, while wounded T.K. longs to see his future wife and Fred, needing fast cash to send his son to college, is headed for a casino. During the journey, the soldiers forge a bond based on their uncertain futures.","Comedy, Drama", Drama
107,m/10008655-whiteout,Whiteout,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko (Kate Beckinsale) will soon leave the harsh environment behind for good; in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.","Action & Adventure, Drama, Mystery & Suspense", Drama
108,m/10008661-randy_and_the_mob,Randy and the Mob,"A self-centered Southerner (Ray McKinnon) turns to his estranged, gay twin for help when he runs into trouble with Italian mobsters.","Comedy, Documentary", Documentary
112,m/10008698-king_corn,King Corn,"Two recent college graduates travel to Iowa to investigate the role that corn plays in an increasingly complicated and dysfunctional American food industry. After planting their own small crop of corn and tracing its journey through the industry, they are alarmed to discover that corn figures in almost everything Americans eat. The consequences of this are examined through interviews with various experts and industry insiders, providing a balanced look at this American agricultural issue.","Documentary, Musical & Performing Arts, Special Interest", Musical & Performing Arts
113,m/10008699-terrors_advocate,L' Avocat de la Terreur (Terror's Advocate),"Jacques Verges, a lawyer and former Free French Forces guerrilla, defends war criminals and those who deny the validity of the Holocaust.","Art House & International, Documentary, Special Interest", Documentary
114,m/10008700-darfur_now,Darfur Now,"Individuals from all walks of life -- movie stars, activists, politicians and others -- campaign to raise public awareness about the situation in Sudan's Darfur region and the urgent need for collective action. Through steps both small and large, these individuals do what they can to halt the genocide and generate sufficient humanitarian aid for the millions who face severe oppression. This crisis, they argue, does not belong just to the inhabitants of Sudan, but to all citizens of the earth.","Documentary, Drama, Musical & Performing Arts, Special Interest", Drama
115,m/10008701-laaga_chunari_mein_daag,Laaga Chunari Mein Daag - Journey of a Woman,Two small-town sisters have a hard time adjusting to life in the big city.,"Art House & International, Drama", Drama
118,m/10008706-house,House,"Stranded in the rural South, two couples take shelter in an old house. Unaware that evil itself infuses the structure, the four discover that the house will not allow them to leave, and that they are at the mercy of a mad killer who claims to have slain God.","Drama, Horror, Mystery & Suspense", Horror
120,m/10008747-skid_row,Skid Row,Fugees musician Pras Michel spends nine days on the streets of downtown Los Angeles as a homeless man.,"Documentary, Special Interest", Special Interest
121,m/10008748-saawariya,Saawariya,"Sparks fly when wandering singer Ranbir Raj (Ranbir Kapoor) arrives in a mystical town and meets charming prostitute Gulabji (Rani Mukherjee). Gulabji directs Raj to a local boarding house, and he begins to explore his new home. But soon the restless Raj meets the stunning Sakina (Sonam Kapoor), a young Muslim who spurns his advances. As Gulabji pines for the handsome musician, Raj falls hard for the elusive Sakima -- who secretly harbors her own unspoken desires.","Art House & International, Drama, Musical & Performing Arts, Romance", Drama
122,m/10008752-aaja_nachle,Aaja Nachle,"For dance instructor Dia (Madhuri Dixit), New York City has been home for 11 years. But when she's told her guru in India is dying, she rushes back to Shamli to be by his side and finds that he has passed away, leaving behind an endangered legacy: the Ajanta Theater. This theater, where she learned to dance before emigrating, is in danger of being torn down by politicians, namely Raja Uday Singh (Kunal Kapoor). In an effort to save the theater, Dia must prepare a production in two months.","Art House & International, Drama, Musical & Performing Arts, Romance", Drama
123,m/10008754-flawless,Flawless,"A janitor (Michael Caine) convinces a frustrated executive (Demi Moore) to help him steal gems from their employer, the London Diamond Corp.","Drama, Mystery & Suspense", Mystery & Suspense
124,m/10008760-what_happens_in_vegas,What Happens in Vegas,"During a wild vacation in Las Vegas, career woman Joy McNally (Cameron Diaz) and playboy Jack Fuller (Ashton Kutcher) come to the sober realization that they have married each other after a night of drunken abandon. Besides that, there is a huge jackpot at stake. An implacable judge freezes the prize money and refuses to grant an annulment, so Joy and Jack must try to make their impromptu marriage work.","Comedy, Romance", Romance
125,m/10008785-appaloosa,Appaloosa,"Virgil Cole (Ed Harris) and his longtime friend and partner Everett Hitch (Viggo Mortensen) travel the 1880s Southwest, bringing justice to lawless towns desperate enough to hire them. In the mining town of Appaloosa, malevolent rancher Randall Bragg and his cronies ride roughshod over the frightened citizens. As Cole and Hitch work to end Bragg's reign of terror, an unconventional widow (Renee Zellweger) arrives, complicating the job and threatening their bond.","Action & Adventure, Western", Western
129,m/10008849-married_life,Married Life,"After many years of marriage, Harry Allen (Chris Cooper) falls in love with lovely Kay Nesbitt (Rachel McAdams). Harry plots to kill his wife, Pat (Patricia Clarkson), because he feels divorce would be too hard on her. Meanwhile, his roguish best friend, Richard (Pierce Brosnan), is also in love with Kay and would like nothing better than to steal her out from under Harry's nose.","Comedy, Drama, Mystery & Suspense, Romance", Drama
